Вамана (120 мин. оздоровительная рвота),4
Абхъянга массаж (90 мин. ручной масляный массаж в 2 руки),1.5
Абхъянга массаж (90 мин. ручной масляный массаж в 4 руки),1.5
Калари массаж (90 мин. ножной масляный массаж),1.5
Марма массаж тела (90 мин),1.5
"""Аюрведический массаж для сотрудников (абхъянга",1
"""Кижи массаж (60 мин. Пиндасведана",1
Абхъянга массаж (60 мин. ручной масляный массаж в 2 руки),1
Абхъянга массаж (60 мин. ручной масляный массаж в 4 руки),1
Абхъянгам массаж (60 мин. ручной масляный массаж в 2 руки),1
Аюрведа ознакомительный сеанс (60 мин),1
Аюрведический массаж для сотрудников (абхъянга. удвартанам. кижи),1
Аюрведический массаж для сотрудников (калари),1
Аюрведический ознакомительный массаж (60 мин),1
Гирудотерапия,1
Детский масляный массаж от 7 лет до 14 лет (60 мин),1
Калари массаж (60 мин. ножной масляный массаж),1
Каясекам на все тело,1
кижи,1
Кижи массаж (60 мин. массаж рисовыми мешочками в 4 руки),1
"Кижи массаж (60 мин. пиндасведана, массаж мешочками в 2 руки)",1
Кижи массаж (60 мин. Пиндасведана. массаж мешочками в 2 руки),1
Массаж в счастливый час (1ч.30мин),1
"массаж мешочками в 2 руки)""""""""",1
Массаж ступней (60 мин.),1
Массаж ступней для сотрудников (60 мин),1
удвартанам,1
Удвартанам массаж (60 мин. ручной массаж маслом и травяным порошком в 2 руки),1
"Удвартанам массаж, удгаршан массаж (60 мин. ручной массаж маслом и травяным порошком в 2 руки)",1
"Удвартанам, удгаршан массаж (45 мин. ручной массаж маслом и травяным порошком в 4 руки)",0.75
Детский масляный массаж от 1 года до 7 лет (45 мин),0.75
Детский масляный массаж от 1 года до 7 лет (45 минут),0.75
"Дханьямла дхара (40 мин., 4 руки, проливание травяного отвара)",0.75
"""Кижи на части тела",0.5
Абхъянга для рожениц (30 мин. масляный массаж руками),0.5
Абхъянга массаж (30 мин. ручной масляный массаж в 4 руки),0.5
Гриба Басти (30 мин. Ванночка  из теста с горячим маслом на верхнюю часть  спины),0.5
Гриба Басти (30 мин. ванночка из теста с горячим маслом на верхнюю часть спины),0.5
Детский масляный массаж от 0 до 1 года (30 мин),0.5
Джану Басти (30 мин. ванночка из теста с горячим маслом на суставы),0.5
Кати Басти (30 мин. ванночка из теста с горячим маслом на поясницу),0.5
Кашая дхара на часть тела (30 мин),0.5
Каясекам на часть тела (20 мин),0.5
кижи 4 руки 30 минут,0.5
Кижи на части тела (30 мин),0.5
Кижи на части тела. 30 минут,0.5
Кшировасти (1 час),0.5
Кшировасти (60 мин. питательная клизма),0.5
Кширодхара (60 мин. струящееся молоко на лоб),0.5
"Лепана (повязка, аппликация, 20 мин)",0.5
Марма массаж лица (30 мин),0.5
Марма массаж лица (30 мин),0.5
Массаж спины (30 мин),0.5
Массаж спины (30 минут),0.5
Массаж ступней,0.5
Массаж ступней (30 мин),0.5
Массаж ступней (30 минут),0.5
Массаж шейно-воротниковой зоны (30 мин),0.5
Массаж шейно-воротниковой зоны (30 минут),0.5
Медицинский массаж спины взрослым,0.5
Медицинский массаж спины взрослым,0.5
Мукхабхъянга (30 мин. массаж лица),0.5
Мукхабхъянга (30 мин. Массаж лица),0.5
Насья (30 мин. ингаляция и закапывание капель в нос),0.5
Насья (30 мин.ингаляция и закапывание капель в нос),0.5
Нетро Басти (Нетро Тарпана) (30 мин. масляные аппликации на глаза),0.5
Нируха Басти (30 мин. Клизма травяным отваром),0.5
Нируха Басти (60 мин. клизма травяным отваром),0.5
Обучающий сеанс: массаж абхъянга (30 мин),0.5
Пичу (30 мин. масляная аппликация),0.5
Сеанс обучения детскому массажу (30 мин),0.5
Такрадхара (60 мин. струящееся молочная сыворотка на лоб),0.5
Убтан (30 мин. травяная маска для лица),0.5
Убтан (30 мин. Травяная маска для лица),0.5
Удвартанам на часть тела (30 мин),0.5
Умасливание  (30 мин.),0.5
Умасливание (20 мин.),0.5
Умасливание: абхъянга 20 минут,0.5
Услуга на дому,0.5
Хрид Хара (10 мин. струящийся травяной отвар на область сердца),0.5
Хридай Басти (30 мин. ванночка из теста с горячим маслом на область сердца),0.5
Широабхъянга (30 мин. массаж головы),0.5
Широдхара (60 мин. струящееся масло на лоб),0.5
Широлепа (45 мин. травяная маска или паста на голову),0.5
Широпичу (30 мин. Масляная аппликация на голову),0.5
Анувасана Басти (30 мин. масляная травяная клизма),0.25
Анувасана Басти (30 мин. Масляная травяная клизма),0.25
Брихан насья ( 5 мин. закапывание теплого медицинского масла в нос),0.25
Карна пурам: закапывание в уши масла (20 мин),0.25
Пиявки (1 шт.) постановка,0.25
Виречана (слабительная терапия),0
Сеанс в кедровой бочке,0
Сеанс в кедровой бочке с фитосбором,0
